xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3090,1500,395,-6729,-225,-1749,5,4
3353,2128,2651,-1651,-1547,-6080,0,1
3338,2079,2735,-2176,-1005,-6362,1,1
3337,2051,2790,-1827,-128,-4175,2,1
3337,2027,2845,-1826,-128,-4171,3,1
3339,2000,2903,-1824,-128,-4166,4,1
3343,1973,2960,-1822,-128,-4162,5,1
390,874,1793,-65,-15,-1498,0,5
0,5,2861,-568,-51,-15010,0,1
3595,5,2689,-567,-51,-14995,1,1
3590,7,2518,-567,-51,-14980,2,1
3034,3334,2022,-909,-314,-7983,0,3
2992,3466,1863,-908,-314,-7975,1,3
2973,30,1673,-907,-314,-7967,2,3
2953,183,1500,-2861,-179,-6408,3,3
2957,350,1313,-2858,-179,-6401,4,3
2982,498,1145,-2856,-179,-6395,5,3
3599,5,2862,-569,-54,-14995,0,4
3595,5,2690,-569,-54,-14980,1,4
3590,7,2518,-568,-54,-14965,2,4
