xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3599,3584,2643,-3,-1,31,32,6
3599,3584,2688,-24,-2,978,39,6
3599,3584,2699,-9,-1,0,45,6
3587,3056,839,-55,-9,731,82,1
3595,3055,845,-72,-8,872,83,1
2,3056,881,-966,-17,730,86,1
3599,3056,909,-1044,-6,510,88,1
878,2653,2702,-78,-3,921,62,5
890,2657,2706,-91,-5,1060,63,5
897,846,895,-77,-6,1032,64,5
3303,25,3589,-597,-11,525,77,3
3291,19,1,-468,-28,303,79,3
3286,18,2,-395,-9,92,80,3
3269,19,3599,-133,-1,16,86,3
3268,19,0,-90,-1,10,87,3
3599,160,901,-17,-9,209,93,1
3013,1467,902,-710,-83,174,80,2
109,1272,385,-5,-2,616,92,3
3588,1263,309,-459,-20,895,104,3
3584,1263,298,-548,-23,840,105,3
3581,1263,287,-631,-20,790,106,3
3578,1264,263,-810,-19,688,108,3
0,1268,160,-1429,-50,742,115,3
1,1267,141,-1418,-56,972,116,3
0,1267,98,-1495,-12,1206,118,3
3599,1267,3578,-508,-4,369,124,3
0,1267,3567,-173,-1,126,127,3
2804,1448,472,-943,-95,2265,47,2
2796,1598,319,-942,-94,2263,48,2
2801,1756,157,-941,-94,2260,49,2
2813,1890,21,-940,-94,2258,50,2
2830,1993,3514,-939,-94,2256,51,2
2850,2070,3433,-938,-94,2254,52,2
2866,2120,3380,-595,-175,1797,53,2
2880,2153,3342,-448,-229,1464,54,2
2892,2178,3313,-359,-246,1288,55,2
2903,2199,3288,-298,-233,1191,56,2
2913,2216,3266,-246,-233,1097,57,2
2923,2231,3247,-192,-229,1010,58,2
2931,2244,3230,-134,-218,927,59,2
2939,2256,3215,-84,-212,832,60,2
2945,2266,3201,-29,-211,764,61,2
2717,973,804,-311,-69,2,96,2
2716,1052,724,-187,-13,145,97,2
2713,1119,657,-83,-1,252,98,2
3599,156,901,-11,-1,128,90,1
897,667,334,-548,-28,490,239,5
0,2901,2659,-222,-14,57,91,6
3599,2901,2664,-348,-9,111,92,6
3599,2901,2669,-473,-3,168,93,6
3599,2901,2701,-407,-4,150,97,6
3599,2901,2704,-187,-1,77,98,6
41,847,113,-24,-11,142,45,3
38,847,112,-113,-27,237,46,3
34,846,110,-203,-36,330,47,3
29,845,107,-294,-38,422,48,3
23,845,103,-388,-35,512,49,3
15,844,98,-484,-27,601,50,3
6,844,93,-570,-47,706,51,3
3599,849,3597,-286,-6,13,59,3
3537,3512,845,-447,-4,52,246,1
900,96,0,-10,-2,1,186,5
1,266,798,-82,-4,1095,288,1
782,2297,836,-168,-28,1543,50,5
814,2189,727,-448,-33,1601,52,5
895,1505,34,-11,-18,179,71,5
3594,917,949,-116,-17,148,240,1
3594,916,946,-216,-21,48,241,1
0,916,914,-866,-4,13,246,1
860,2674,3598,-10,-1,294,48,5
865,2676,0,-25,-7,429,49,5
872,2678,2,-31,-7,567,50,5
880,2682,6,-33,-5,706,51,5
890,2688,12,-32,-5,847,52,5
898,2689,13,-20,-2,704,53,5
898,648,1572,-66,-9,206,54,5
0,3518,822,-233,-2,1629,182,1
0,3518,865,-268,-7,1876,184,1
3599,3517,901,-195,-35,1085,186,1
3520,3190,2674,-18,-8,119,39,6
3522,3190,2676,-16,-9,256,40,6
3525,3189,2680,-17,-5,392,41,6
889,2632,2710,-95,-2,694,178,5
897,2646,2725,-85,-4,725,179,5
3538,97,3524,-31,-4,236,117,3
2,92,0,-602,-4,111,137,3
3599,92,0,-230,-15,43,138,3
47,3591,2680,-79,-23,603,214,6
3542,2605,2700,-12,-1,53,231,6
3577,2605,2700,-140,-2,848,237,6
3589,2605,2700,-164,-5,985,238,6
1,2605,2700,-101,-10,207,240,6
0,2150,3599,-43,-2,117,83,3
3582,3335,1718,-302,-16,1,36,4
3599,3335,1803,-287,-30,282,47,4
35,132,1851,-579,-5,1367,183,4
24,132,1864,-661,-31,1299,184,4
12,132,1876,-763,-22,1239,185,4
3599,134,1800,-8,-2,35,214,4
2710,616,910,-376,-2,723,50,2
2701,591,935,-365,-6,675,51,2
2701,2210,2915,-159,-5,151,52,2
3426,2428,798,-86,-33,382,65,1
3431,2427,798,-191,-39,404,66,1
3437,2426,799,-297,-42,426,67,1
3451,2424,804,-510,-49,474,69,1
3460,2423,807,-619,-50,501,70,1
3469,2421,812,-729,-49,527,71,1
3479,2419,818,-842,-52,558,72,1
3490,2417,824,-955,-52,589,73,1
3502,2415,832,-1071,-48,620,74,1
3516,2413,841,-1194,-49,656,75,1
3530,2412,850,-1312,-44,690,76,1
3545,2410,861,-1443,-40,729,77,1
3562,2409,872,-1566,-29,762,78,1
3579,2408,885,-1709,-16,802,79,1
3598,2408,898,-1847,-2,855,80,1
3,2408,902,-310,-3,208,81,1
1,399,875,-431,-45,2161,77,1
2982,169,2330,-1104,-845,349,7,2
2967,158,2332,-1226,-833,435,8,2
2951,145,2336,-1325,-821,491,9,2
2933,131,2341,-1447,-796,546,10,2
2915,115,2349,-1497,-768,589,11,2
2895,96,2360,-1673,-753,649,12,2
2875,73,2376,-1724,-724,689,13,2
2853,44,2398,-1846,-694,741,14,2
2830,5,2430,-1998,-670,792,15,2
2807,3547,2481,-2101,-647,831,16,2
2783,3456,2567,-2222,-610,868,17,2
2759,3329,2692,-2506,-190,534,18,2
30,827,3075,-1325,-9,422,46,6
22,826,3060,-1363,-19,507,47,6
14,825,3045,-1398,-27,591,48,6
4,824,3030,-1452,-11,676,49,6
0,826,2700,-65,-12,8,81,6
557,3474,39,-5053,-32,410,132,2
502,3494,66,-4982,-50,402,133,2
447,3509,87,-4977,-50,402,134,2
391,3520,104,-4972,-50,402,135,2
335,3529,119,-4967,-50,401,136,2
279,3535,132,-4962,-50,401,137,2
224,3539,144,-4957,-50,400,138,2
168,3542,155,-4952,-50,400,139,2
112,3544,165,-4947,-50,400,140,2
56,3545,175,-4942,-50,399,141,2
0,3545,185,-4937,-49,399,142,2
3544,3544,195,-4932,-49,398,143,2
3488,3542,205,-4927,-49,398,144,2
3432,3539,216,-4923,-49,398,145,2
2758,1696,2080,-980,-138,1202,165,2
2772,1969,1808,-568,-11,1149,167,2
2779,2015,1761,-393,-36,706,168,2
2784,2043,1733,-291,-4,493,169,2
2788,2059,1717,-241,-10,363,170,2
2792,2067,1708,-188,-12,239,171,2
2793,2070,1705,-132,-5,115,172,2
3599,12,1694,-47,-20,36,11,4
3599,13,1799,-44,-4,820,23,4
3598,13,1802,-40,-6,237,24,4
