xbegin,ybegin,zbegin,xdif,ydif,zdif,number
3417,376,1705,1115,-34,-522,4,
3432,374,1709,1214,-31,-500,4,
3447,373,1714,1318,-30,-480,4,
3463,371,1720,1424,-27,-462,4,
3480,369,1726,1538,-24,-446,4,
3498,367,1734,1650,-20,-432,4,
3518,366,1742,1774,-15,-421,4,
3538,365,1751,1890,-11,-412,4,
3559,364,1761,2026,-5,-407,4,
3582,363,1772,2146,-7,-406,4,
4,363,1788,2361,28,7,4,
11,364,1800,975,0,398,4,
11,364,1804,232,0,284,4,
9,364,1806,13,4,259,4,
6,364,1808,-123,0,236,4,
675,3485,2486,6259,53,-2463,6,
736,3369,2361,6253,53,-2461,6,
778,3111,2095,6247,53,-2458,6,
780,2744,1720,6240,53,-2456,6,
740,2475,1442,6234,53,-2453,6,
680,2334,1293,6228,52,-2451,6,
637,2248,1205,4940,-425,-1012,6,
587,2190,1144,4935,-424,-1011,6,
535,2148,1100,4930,-424,-1010,6,
481,2117,1066,4925,-424,-1009,6,
427,2093,1039,4920,-423,-1008,6,
372,2074,1018,4915,-423,-1007,6,
316,2059,999,4910,-422,-1006,6,
261,2047,984,4905,-422,-1005,6,
205,2036,970,4901,-421,-1004,6,
149,2028,958,4896,-421,-1003,6,
93,2021,947,4891,-421,-1002,6,
36,2015,937,4886,-420,-1001,6,
3580,2010,927,4881,-420,-1000,6,
3524,2006,918,4876,-419,-999,6,
3467,2002,909,4871,-419,-998,6,
3411,2000,900,4866,-418,-997,6,
3355,1999,891,4861,-418,-996,6,
3299,1998,882,4857,-418,-995,6,
3242,1999,872,4852,-417,-994,6,
3191,1994,879,4015,34,-2076,6,
3140,1985,893,3971,-4,-2193,6,
3089,1976,904,4029,2,-2023,6,
3038,1965,918,4057,4,-1980,6,
2987,1950,936,4053,4,-1978,6,
2936,1929,960,4049,4,-1976,6,
2886,1895,996,4045,4,-1974,6,
2838,1836,1058,4041,3,-1972,6,
2792,1716,1180,4037,3,-1970,6,
2758,1417,1481,4033,3,-1968,6,
2758,895,2006,4029,3,-1966,6,
2770,560,2345,3362,158,160,6,
2791,332,2574,3261,-38,649,6,
2818,212,2696,2982,7,632,6,
2843,168,2743,2291,79,175,6,
2865,144,2768,2018,28,61,6,
2886,127,2786,1906,8,20,6,
2906,116,2798,1793,19,-25,6,
2925,109,2806,1707,21,-71,6,
2944,104,2811,1608,28,-125,6,
2961,102,2814,1523,26,-178,6,
2978,102,2815,1438,30,-235,6,
2994,103,2814,1363,26,-291,6,
3009,106,2811,1292,30,-353,6,
3024,109,2807,1226,36,-413,6,
3038,114,2802,1167,37,-478,6,
3052,120,2796,1108,40,-540,6,
3065,126,2789,1056,41,-607,6,
3078,133,2781,1006,36,-675,6,
3091,140,2772,961,33,-747,6,
3103,148,2762,918,24,-820,6,
3180,198,2694,959,31,-739,6,
3193,200,2691,1033,0,-594,6,
3207,201,2689,1076,-5,-508,6,
3220,201,2689,1116,0,-424,6,
3234,200,2690,1165,0,-343,6,
3248,199,2692,1218,3,-263,6,
3263,197,2696,1274,5,-183,6,
3278,195,2699,1309,-6,-228,6,
3293,194,2700,1316,-15,-378,6,
3310,194,2700,1341,-17,-484,6,
3327,194,2700,1391,2,-529,6,
3345,194,2700,1453,-1,-546,6,
3363,195,2699,1524,-1,-550,6,
3383,194,2699,1599,0,-562,6,
3403,194,2699,1674,-5,-586,6,
3425,194,2700,1757,-4,-616,6,
3447,194,2700,1842,-7,-650,6,
3471,194,2700,1939,-4,-685,6,
3495,194,2700,2036,-9,-722,6,
3522,194,2700,2149,-3,-758,6,
3549,194,2700,2264,-3,-799,6,
3578,194,2700,2386,-2,-843,6,
7,194,2699,2404,0,-853,6,
18,194,2700,953,-6,-267,6,
28,194,2700,765,5,-283,6,
35,194,2700,633,-3,-251,6,
41,194,2700,511,0,-195,6,
46,194,2700,384,2,-139,6,
49,194,2700,258,2,-90,6,
825,3011,2980,109,5,150,5,
829,3005,2975,215,1,237,5,
834,2994,2964,321,0,325,5,
840,2975,2945,426,-2,414,5,
848,2945,2914,531,0,504,5,
857,2893,2862,638,-2,593,5,
867,2796,2765,748,3,691,5,
879,2723,2689,397,142,1009,5,
894,2511,2476,208,118,1308,5,
897,1378,1343,-13,-12,551,5,
3507,2781,2107,-337,-21,523,4,
3513,2780,2111,-290,-18,598,4,
3521,2780,2115,-246,-16,675,4,
3529,2779,2118,-202,-13,753,4,
3538,2778,2121,-159,-19,836,4,
3548,2778,2124,-116,-22,919,4,
3560,2777,2127,-74,-23,1004,4,
3572,2777,2129,-37,-19,1099,4,
3586,2777,2131,0,-12,1190,4,
0,2776,2132,64,-54,1217,4,
7,2776,2131,161,-20,594,4,
12,2776,2129,182,11,405,4,
15,2776,2128,204,9,298,4,
18,2775,2125,210,-16,196,4,
19,2775,2123,231,-8,92,4,
19,2775,2120,253,0,-12,4,
19,2775,2117,274,2,-117,4,
3599,2775,2093,481,17,-387,4,
3598,2775,2086,600,14,-175,4,
3598,2775,2079,663,-4,-57,4,
3599,2775,2071,718,-23,-29,4,
0,2775,2061,791,-5,-61,4,
0,2775,2052,855,-1,-101,4,
0,2775,2041,920,3,-128,4,
0,2775,2029,993,3,-142,4,
0,2775,2017,1070,3,-148,4,
3599,2775,2004,1151,4,-153,4,
0,2775,1989,1237,5,-162,4,
0,2775,1974,1326,4,-174,4,
0,2775,1958,1420,4,-188,4,
0,2775,1940,1518,5,-201,4,
0,2775,1921,1623,5,-216,4,
0,2775,1901,1731,7,-229,4,
0,2776,1880,1849,5,-247,4,
0,2776,1857,1965,11,-259,4,
3599,2776,1833,2097,4,-281,4,
0,2776,1807,2220,20,-291,4,
0,2776,1796,916,14,-57,4,
1,2776,1791,344,-4,-43,4,
0,2776,1789,191,-3,-60,4,
3599,472,2687,113,-2,109,6,
