xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
1,1003,900,77,-2,472,147,1
3599,1003,900,21,-2,154,148,1
3596,810,899,31,-18,128,240,1
686,3409,3597,195,-1,83,28,5
690,3410,3598,264,-14,131,29,5
694,3411,0,350,-14,148,30,5
700,3411,0,439,-10,160,31,5
706,3411,0,525,-7,178,32,5
713,3411,0,611,-8,203,33,5
722,3411,0,697,-7,234,34,5
731,3411,0,785,-9,266,35,5
742,3411,0,880,-5,302,36,5
754,3411,0,975,-4,335,37,5
767,3411,0,1074,-5,366,38,5
781,3411,0,1177,-6,402,39,5
797,3411,0,1283,-5,439,40,5
814,3411,0,1394,-6,477,41,5
832,3411,0,1507,-7,515,42,5
852,3411,0,1629,-5,559,43,5
873,3411,1,1748,-13,597,44,5
892,1510,1700,306,-1,44,47,5
797,2649,2497,47,-3,162,187,5
873,2912,2763,201,-3,1318,196,5
890,3039,2891,333,-9,1421,197,5
894,1074,925,73,-1,48,200,5
0,2087,1798,122,-13,292,126,4
3599,4,2679,0,-1,342,74,6
195,387,871,603,-5,55,96,1
206,395,894,653,-1,404,99,1
3587,2714,2707,49,-18,432,6,6
3594,2714,2706,154,-11,542,7,6
3599,2714,2702,351,-9,429,8,6
3599,93,3535,151,-3,921,101,3
3599,93,3547,170,-4,1048,102,3
3599,93,3561,193,-8,1176,103,3
3599,93,3576,214,-4,1313,104,3
3599,93,3593,239,-12,1444,105,3
0,92,1,144,-11,612,106,3
3581,7,2743,65,-7,733,6,6
3582,7,2750,164,-10,632,7,6
3585,6,2756,263,-13,533,8,6
3599,6,2767,351,-35,149,11,6
2775,1785,2709,37,-207,1570,111,2
2768,1874,2619,649,-62,925,112,2
2759,1962,2530,896,-11,693,113,2
2751,2064,2427,964,-16,583,114,2
2739,2379,2111,1147,-12,415,116,2
2738,2596,1893,1247,-3,328,117,2
2700,888,0,54,-1,7,129,2
46,1031,0,33,-1,159,54,3
3598,1031,0,121,-15,303,61,3
24,1482,1799,94,-4,66,210,4
21,1482,1799,216,-2,138,211,4
3597,1482,1800,119,-3,32,216,4
503,3473,2501,780,-10,14,90,5
512,3471,2499,801,-5,81,91,5
713,63,2703,1674,-57,694,106,5
734,80,2723,1910,-80,279,107,5
781,126,2770,2098,-10,83,109,5
231,1253,904,280,-3,320,104,1
225,1253,903,228,-3,423,105,1
212,1251,900,265,-24,578,107,1
204,1250,899,382,-25,617,108,1
194,1250,899,470,-2,665,109,1
172,1251,899,587,-2,807,111,1
160,1251,900,635,-2,893,112,1
146,1251,900,687,-5,978,113,1
131,1250,899,744,-5,1065,114,1
115,1250,899,807,-6,1152,115,1
98,1250,899,873,-6,1244,116,1
79,1250,899,941,-7,1338,117,1
59,1250,899,1012,-5,1442,118,1
37,1250,899,1085,-12,1541,119,1
14,1250,899,1161,-3,1658,120,1
3596,1250,900,875,-2,1216,121,1
3589,1250,899,365,-5,531,122,1
0,360,3554,403,-8,610,30,3
3599,360,3564,498,-6,712,31,3
3599,360,3589,677,-2,926,33,3
2746,1621,3,340,-39,331,163,2
2740,1633,3591,562,-23,236,164,2
2700,1625,0,712,-13,191,168,2
2702,91,1533,190,-13,14,169,2
3578,2699,2553,1620,-11,300,8,6
3588,2699,2519,1466,-11,462,10,6
0,2700,2409,637,-2,8,20,6
0,2700,2382,371,-2,0,25,6
0,2699,2732,93,-1,1,72,6
0,2699,2729,233,-1,0,73,6
0,2699,2725,373,-2,0,74,6
0,2699,2719,513,-1,0,75,6
852,37,1063,673,-164,1079,196,5
859,195,1222,799,-39,930,197,5
864,402,1430,924,-21,868,198,5
862,790,1818,710,-20,330,200,5
895,2986,415,27,-4,125,210,5
3599,134,2675,18,-1,85,91,6
2755,998,3572,72,-19,1119,116,2
2741,1002,3568,175,-8,1206,117,2
2726,990,3580,277,-4,1296,118,2
3598,117,2675,129,-30,1223,42,6
3598,116,2690,269,-14,1338,43,6
2740,1205,901,452,-3,761,221,2
2728,1205,902,521,-6,876,222,2
2702,1194,912,556,-9,944,224,2
2708,2987,2720,141,-5,260,226,2
2709,2991,2715,77,-3,124,227,2
2880,1275,2700,48,-2,81,193,2
2878,1275,2700,111,-1,153,194,2
2704,3004,971,339,-9,518,210,2
2708,3048,927,77,-1,76,212,2
3576,3310,14,550,-66,1451,61,3
3,3309,28,622,-22,641,63,3
14,3309,26,436,-4,57,65,3
3599,3309,0,84,-8,8,77,3
8,2684,2701,64,-2,384,69,6
3551,3272,1651,1369,-75,27,351,4
3565,3272,1643,1418,-87,125,352,4
3581,3271,1636,1462,-82,225,353,4
3596,3271,1630,1377,-14,315,354,4
15,3276,1637,43,-14,339,358,4
3590,83,624,667,-3,312,16,1
2,84,654,110,-26,770,20,1
1,83,663,19,-15,831,21,1
3599,83,685,99,-10,992,23,1
3599,83,697,156,-2,1067,24,1
0,84,794,242,-1,1646,30,1
0,84,836,277,-4,1878,32,1
0,83,884,315,-13,2131,34,1
3599,83,913,75,-11,738,36,1
3599,83,923,54,-4,383,38,1
3599,83,926,44,-3,245,39,1
3599,83,927,20,-2,106,40,1
0,83,899,23,-2,13,48,1
3576,2943,1801,235,-38,1021,310,4
3590,2943,1801,443,-1,1106,311,4
4,2943,1800,597,-3,1050,312,4
3599,2943,1799,3,-1,24,321,4
668,1695,2682,336,-1,240,80,5
893,3520,910,159,-1,18,112,5
897,3536,926,301,-2,48,113,5
3276,1621,2766,2652,-33,6,33,2
3248,1614,2777,2597,-46,23,34,2
3220,1607,2788,2551,-54,47,35,2
3193,1599,2800,2509,-58,83,36,2
3166,1591,2811,2475,-59,123,37,2
3139,1581,2823,2450,-58,164,38,2
3112,1572,2836,2436,-61,206,39,2
3086,1561,2849,2431,-61,248,40,2
3059,1549,2863,2435,-59,291,41,2
3032,1536,2878,2448,-54,335,42,2
3005,1521,2895,2469,-48,380,43,2
2977,1503,2915,2500,-39,427,44,2
2949,1482,2938,2539,-28,474,45,2
2921,1456,2966,2586,-15,522,46,2
2765,3350,1102,121,-34,975,57,2
893,888,937,7,-5,297,65,5
4,17,2,817,-18,129,121,3
3599,18,0,26,-1,0,131,3
0,161,889,315,-6,1089,91,1
0,160,898,194,-17,748,92,1
2781,1469,900,1561,-3,1015,119,2
2734,1467,901,1768,-9,1150,121,2
